P,rho(T=300),P,rho(T=500),P,rho(T=1000)
0.0035368,0.02559,0.16667,0.72726,0.16667,0.36128
0.0035368,996.51,0.33333,1.4649,0.33333,0.72287
0.16667,996.59,0.5,2.2135,0.5,1.0848
0.33333,996.66,0.66667,2.9738,0.66667,1.447
0.5,996.74,0.83333,3.7465,0.83333,1.8095
0.66667,996.81,1,4.5323,1,2.1723
0.83333,996.89,1.1667,5.3321,1.1667,2.5354
1,996.96,1.3333,6.1468,1.3333,2.8989
1.1667,997.03,1.5,6.9775,1.5,3.2626
1.3333,997.11,1.6667,7.8254,1.6667,3.6267
1.5,997.18,1.8333,8.6917,1.8333,3.9911
1.6667,997.26,2,9.5781,2,4.3558
1.8333,997.33,2.1667,10.486,2.1667,4.7208
2,997.41,2.3333,11.418,2.3333,5.0861
2.1667,997.48,2.5,12.376,2.5,5.4517
2.3333,997.56,2.6392,13.199,2.6667,5.8177
2.5,997.63,2.6392,831.31,2.8333,6.184
2.6667,997.71,2.6667,831.34,3,6.5506
2.8333,997.78,2.8333,831.5,3.1667,6.9175
3,997.85,3,831.65,3.3333,7.2847
3.1667,997.93,3.1667,831.81,3.5,7.6522
3.3333,998,3.3333,831.96,3.6667,8.0201
3.5,998.08,3.5,832.12,3.8333,8.3883
3.6667,998.15,3.6667,832.28,4,8.7568
3.8333,998.23,3.8333,832.43,4.1667,9.1256
4,998.3,4,832.59,4.3333,9.4947
4.1667,998.37,4.1667,832.74,4.5,9.8642
4.3333,998.45,4.3333,832.9,4.6667,10.234
4.5,998.52,4.5,833.05,4.8333,10.604
4.6667,998.6,4.6667,833.2,5,10.975
4.8333,998.67,4.8333,833.36,5.1667,11.345
5,998.74,5,833.51,5.3333,11.716
5.1667,998.82,5.1667,833.67,5.5,12.088
5.3333,998.89,5.3333,833.82,5.6667,12.46
5.5,998.97,5.5,833.97,5.8333,12.832
5.6667,999.04,5.6667,834.12,6,13.204
5.8333,999.11,5.8333,834.28,6.1667,13.577
6,999.19,6,834.43,6.3333,13.95
6.1667,999.26,6.1667,834.58,6.5,14.323
6.3333,999.34,6.3333,834.73,6.6667,14.697
6.5,999.41,6.5,834.89,6.8333,15.071
6.6667,999.48,6.6667,835.04,7,15.445
6.8333,999.56,6.8333,835.19,7.1667,15.82
7,999.63,7,835.34,7.3333,16.195
7.1667,999.71,7.1667,835.49,7.5,16.57
7.3333,999.78,7.3333,835.64,7.6667,16.946
7.5,999.85,7.5,835.79,7.8333,17.322
7.6667,999.93,7.6667,835.94,8,17.698
7.8333,1000,7.8333,836.09,8.1667,18.075
8,1000.1,8,836.24,8.3333,18.452
8.1667,1000.1,8.1667,836.39,8.5,18.829
8.3333,1000.2,8.3333,836.54,8.6667,19.207
8.5,1000.3,8.5,836.69,8.8333,19.585
8.6667,1000.4,8.6667,836.84,9,19.963
8.8333,1000.4,8.8333,836.99,9.1667,20.342
9,1000.5,9,837.14,9.3333,20.721
9.1667,1000.6,9.1667,837.29,9.5,21.101
9.3333,1000.7,9.3333,837.43,9.6667,21.48
9.5,1000.7,9.5,837.58,9.8333,21.86
9.6667,1000.8,9.6667,837.73,10,22.241
9.8333,1000.9,9.8333,837.88,10.167,22.621
10,1001,10,838.02,10.333,23.002
10.167,1001,10.167,838.17,10.5,23.384
10.333,1001.1,10.333,838.32,10.667,23.766
