T(P=0.1MPa),V(P=0.1MPa),T(P=10MPa),V(P=10MPa),T(P=500MPa),V(P=500MPa)
273.16,0.0010002,273.16,0.0009952,273.16,0.00086064
276.04,0.001,276.04,0.00099518,276.04,0.00086167
278.92,0.0010001,278.92,0.00099528,278.92,0.00086273
281.79,0.0010002,281.79,0.0009955,281.79,0.00086379
284.67,0.0010004,284.67,0.00099582,284.67,0.00086487
287.55,0.0010008,287.55,0.00099624,287.55,0.00086595
290.43,0.0010013,290.43,0.00099675,290.43,0.00086705
293.31,0.0010018,293.31,0.00099735,293.31,0.00086814
296.18,0.0010025,296.18,0.00099803,296.18,0.00086925
299.06,0.0010032,299.06,0.00099878,299.06,0.00087035
301.94,0.001004,301.94,0.00099961,301.94,0.00087146
304.82,0.0010049,304.82,0.0010005,304.82,0.00087258
307.7,0.0010058,307.7,0.0010015,307.7,0.0008737
310.57,0.0010069,310.57,0.0010025,310.57,0.00087482
313.45,0.001008,313.45,0.0010036,313.45,0.00087594
316.33,0.0010091,316.33,0.0010048,316.33,0.00087707
319.21,0.0010103,319.21,0.001006,319.21,0.0008782
322.09,0.0010116,322.09,0.0010073,322.09,0.00087933
324.97,0.001013,324.97,0.0010086,324.97,0.00088047
327.84,0.0010144,327.84,0.00101,327.84,0.00088161
330.72,0.0010158,330.72,0.0010114,330.72,0.00088275
333.6,0.0010173,333.6,0.0010129,333.6,0.0008839
336.48,0.0010189,336.48,0.0010145,336.48,0.00088506
339.36,0.0010205,339.36,0.0010161,339.36,0.00088621
342.23,0.0010222,342.23,0.0010177,342.23,0.00088738
345.11,0.0010239,345.11,0.0010194,345.11,0.00088855
347.99,0.0010257,347.99,0.0010212,347.99,0.00088972
350.87,0.0010275,350.87,0.0010229,350.87,0.0008909
353.75,0.0010294,353.75,0.0010248,353.75,0.00089208
356.62,0.0010314,356.62,0.0010267,356.62,0.00089327
359.5,0.0010333,359.5,0.0010286,359.5,0.00089447
362.38,0.0010354,362.38,0.0010306,362.38,0.00089567
365.26,0.0010375,365.26,0.0010327,365.26,0.00089688
